name,url,country,revision_id,quality_score
Abdihakim Luqman,https://en.wikipedia.org/wiki/Abdihakim_Luqman,Somalia,1236505010,Stub
Maslah Mohammed Siad Barre,https://en.wikipedia.org/wiki/Maslah_Mohammed_Siad_Barre,Somalia,1246397242,Start
Hassan Moalim,https://en.wikipedia.org/wiki/Hassan_Moalim,Somalia,1223156433,Stub
Mohamed Ahmed Sheikh Ali,https://en.wikipedia.org/wiki/Mohamed_Ahmed_Sheikh_Ali,Somalia,1226025037,Stub
Abdinur Sheikh Mohamed,https://en.wikipedia.org/wiki/Abdinur_Sheikh_Mohamed,Somalia,1048396818,Stub
Mohamud Sayid Aden,https://en.wikipedia.org/wiki/Mohamud_Sayid_Aden,Somalia,1244503224,Stub
Muḥammad ibn 'Abdallāh Hassan,https://en.wikipedia.org/wiki/Muḥammad_ibn_'Abdallāh_Hassan,Somalia,1250927281,C
Gobsan Muhumed,https://en.wikipedia.org/wiki/Gobsan_Muhumed,Somalia,1243657457,Stub
Abdullahi Mohamed Nur,https://en.wikipedia.org/wiki/Abdullahi_Mohamed_Nur,Somalia,1249185426,Stub
Haji Ibrahim Nur,https://en.wikipedia.org/wiki/Haji_Ibrahim_Nur,Somalia,1089443067,Stub
Mohamed Ali Nur,https://en.wikipedia.org/wiki/Mohamed_Ali_Nur,Somalia,1173362453,GA
Abdilqadir Ali Omar,https://en.wikipedia.org/wiki/Abdilqadir_Ali_Omar,Somalia,1249795421,Stub
Daud Mohamed Omar,https://en.wikipedia.org/wiki/Daud_Mohamed_Omar,Somalia,1238075905,Start
Mustafa Mohammed Omar,https://en.wikipedia.org/wiki/Mustafa_Mohammed_Omar,Somalia,1246360389,Start
Abdirahman Dahir Osman,https://en.wikipedia.org/wiki/Abdirahman_Dahir_Osman,Somalia,975462878,Stub
Djama Rabile Ghod,https://en.wikipedia.org/wiki/Djama_Rabile_Ghod,Somalia,1185856641,Start
Said Mohamed Rage,https://en.wikipedia.org/wiki/Said_Mohamed_Rage,Somalia,1220698202,Stub
Abdulkadir Sheikh Sakhawudeen,https://en.wikipedia.org/wiki/Abdulkadir_Sheikh_Sakhawudeen,Somalia,1249819962,Stub
Yusuf Osman Samatar,https://en.wikipedia.org/wiki/Yusuf_Osman_Samatar,Somalia,1180587249,GA
Mohamed Adan Saqadhi,https://en.wikipedia.org/wiki/Mohamed_Adan_Saqadhi,Somalia,1214578040,Stub
Aden Saran-Sor,https://en.wikipedia.org/wiki/Aden_Saran-Sor,Somalia,919377968,Stub
Ali Sheegow,https://en.wikipedia.org/wiki/Ali_Sheegow,Somalia,1175813709,Stub
Said Hassan Shire,https://en.wikipedia.org/wiki/Said_Hassan_Shire,Somalia,1191019702,Stub
